"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "SCSS", "XML", "CSS", "comment", "blank", "total"
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/keycloak.service.ts", "TypeScript", 0, 0, 0, 0, 0, 197, 0, 0, 0, 101, 68, 366
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/loading.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/loading.service.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 11, 9, 36
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/update-navigation.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/update-navigation.service.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 18, 13, 53
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi-output/metadata-annotation-form-test-multi-output.component.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 11, 77
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi-output/metadata-annotation-form-test-multi-output.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 77, 0, 0, 3, 32, 112
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi-output/metadata-annotation-form-test-multi-output.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi-output/metadata-annotation-form-test-multi-output.component.ts", "TypeScript", 0, 0, 0, 0, 0, 255, 0, 0, 0, 166, 144, 565
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi/metadata-annotation-form-test-multi.component.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 11, 77
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi/metadata-annotation-form-test-multi.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 77, 0, 0, 3, 32, 112
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi/metadata-annotation-form-test-multi.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-multi/metadata-annotation-form-test-multi.component.ts", "TypeScript", 0, 0, 0, 0, 0, 234, 0, 0, 0, 150, 133, 517
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-xml-input/metadata-annotation-form-test-xml-input.component.html", "HTML", 0, 0, 0, 0, 98, 0, 0, 0, 0, 3, 27, 128
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-xml-input/metadata-annotation-form-test-xml-input.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 141, 0, 0, 19, 73, 233
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-xml-input/metadata-annotation-form-test-xml-input.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test-xml-input/metadata-annotation-form-test-xml-input.component.ts", "TypeScript", 0, 0, 0, 0, 0, 411, 0, 0, 0, 311, 232, 954
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test/metadata-annotation-form-test.component.html", "HTML", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 11, 114
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test/metadata-annotation-form-test.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 74, 0, 0, 3, 31, 108
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test/metadata-annotation-form-test.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form-test/metadata-annotation-form-test.component.ts", "TypeScript", 0, 0, 0, 0, 0, 185, 0, 0, 0, 94, 96, 375
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form/metadata-annotation-form.component.html", "HTML", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 10, 73
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form/metadata-annotation-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 77, 0, 0, 3, 32, 112
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form/metadata-annotation-form.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/components/metadata-annotation-form/metadata-annotation-form.component.ts", "TypeScript", 0, 0, 0, 0, 0, 307, 0, 0, 0, 210, 193, 710
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/metadata-annotation-form-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/metadata-annotation-form.module.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/metadata-annotation-form/services/metadata-annotation-form-helper.service.ts", "TypeScript", 0, 0, 0, 0, 0, 130, 0, 0, 0, 82, 76, 288
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/alert/alert.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 14, 39
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/alert/alert.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 57, 169
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/alert/alert.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/alert/alert.component.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 9, 9, 35
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/back-link/back-link.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/back-link/back-link.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 8, 21
